state,state_name,assessment,subject,subject_label,grade,school_year,administration_year,tier_rank,tier_id,tier_label,pct_students,is_below_basic_analog,below_basic_analog_label,source_value_kind,notes,source_url,source_page_url
KY,Kentucky,KSA,ELA,Reading,03,2023-2024,2024,2,apprentice,Apprentice,28.3,False,Novice,reported_exact_tier,Kentucky publishes exact statewide Grade 3 Reading performance-level percentages in the KSA yearbook.,https://www.education.ky.gov/AA/Reports/Documents/KY1161534_KY_SP25_Yearbook.pdf,https://www.education.ky.gov/AA/Assessments/Pages/KentuckySummativeAssessment-.aspx
KY,Kentucky,KSA,ELA,Reading,03,2023-2024,2024,3,proficient,Proficient,28.8,False,Novice,reported_exact_tier,Kentucky publishes exact statewide Grade 3 Reading performance-level percentages in the KSA yearbook.,https://www.education.ky.gov/AA/Reports/Documents/KY1161534_KY_SP25_Yearbook.pdf,https://www.education.ky.gov/AA/Assessments/Pages/KentuckySummativeAssessment-.aspx
KY,Kentucky,KSA,ELA,Reading,03,2023-2024,2024,4,distinguished,Distinguished,18.1,False,Novice,reported_exact_tier,Kentucky publishes exact statewide Grade 3 Reading performance-level percentages in the KSA yearbook.,https://www.education.ky.gov/AA/Reports/Documents/KY1161534_KY_SP25_Yearbook.pdf,https://www.education.ky.gov/AA/Assessments/Pages/KentuckySummativeAssessment-.aspx
LA,Louisiana,LEAP,ELA,English Language Arts,03,2024-2025,2025,1,unsatisfactory,Unsatisfactory,17.0,True,Unsatisfactory,reported_exact_tier,Louisiana publishes exact statewide Grade 3 LEAP ELA achievement-level percentages in the State LEA achievement summary workbook.,https://doe.louisiana.gov/docs/default-source/data-management/spring-2025-leap-2025-state-lea-achievement-level-summary.xlsx?sfvrsn=bdc2fd31_7,https://doe.louisiana.gov/resources/library/test-results
LA,Louisiana,LEAP,ELA,English Language Arts,03,2024-2025,2025,2,approaching_basic,Approaching Basic,18.0,False,Unsatisfactory,reported_exact_tier,Louisiana publishes exact statewide Grade 3 LEAP ELA achievement-level percentages in the State LEA achievement summary workbook.,https://doe.louisiana.gov/docs/default-source/data-management/spring-2025-leap-2025-state-lea-achievement-level-summary.xlsx?sfvrsn=bdc2fd31_7,https://doe.louisiana.gov/resources/library/test-results
LA,Louisiana,LEAP,ELA,English Language Arts,03,2024-2025,2025,3,basic,Basic,22.0,False,Unsatisfactory,reported_exact_tier,Louisiana publishes exact statewide Grade 3 LEAP ELA achievement-level percentages in the State LEA achievement summary workbook.,https://doe.louisiana.gov/docs/default-source/data-management/spring-2025-leap-2025-state-lea-achievement-level-summary.xlsx?sfvrsn=bdc2fd31_7,https://doe.louisiana.gov/resources/library/test-results
LA,Louisiana,LEAP,ELA,English Language Arts,03,2024-2025,2025,4,mastery,Mastery,36.0,False,Unsatisfactory,reported_exact_tier,Louisiana publishes exact statewide Grade 3 LEAP ELA achievement-level percentages in the State LEA achievement summary workbook.,https://doe.louisiana.gov/docs/default-source/data-management/spring-2025-leap-2025-state-lea-achievement-level-summary.xlsx?sfvrsn=bdc2fd31_7,https://doe.louisiana.gov/resources/library/test-results
LA,Louisiana,LEAP,ELA,English Language Arts,03,2024-2025,2025,5,advanced,Advanced,7.0,False,Unsatisfactory,reported_exact_tier,Louisiana publishes exact statewide Grade 3 LEAP ELA achievement-level percentages in the State LEA achievement summary workbook.,https://doe.louisiana.gov/docs/default-source/data-management/spring-2025-leap-2025-state-lea-achievement-level-summary.xlsx?sfvrsn=bdc2fd31_7,https://doe.louisiana.gov/resources/library/test-results
MA,Massachusetts,MCAS,ELA,English Language Arts,03,2024-2025,2025,1,not_meeting_expectations,Not Meeting Expectations,19.0,True,Not Meeting Expectations,reported_exact_tier,"Massachusetts School and District Profiles publishes the statewide 2025 MCAS Grade 3 ELA achievement-level split directly on the state profile page, including Exceeding, Meeting, Partially Meeting, and Not Meeting Expectations.",https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&,https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&
MA,Massachusetts,MCAS,ELA,English Language Arts,03,2024-2025,2025,2,partially_meeting_expectations,Partially Meeting Expectations,39.0,False,Not Meeting Expectations,reported_exact_tier,"Massachusetts School and District Profiles publishes the statewide 2025 MCAS Grade 3 ELA achievement-level split directly on the state profile page, including Exceeding, Meeting, Partially Meeting, and Not Meeting Expectations.",https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&,https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&
MA,Massachusetts,MCAS,ELA,English Language Arts,03,2024-2025,2025,3,meeting_expectations,Meeting Expectations,37.0,False,Not Meeting Expectations,reported_exact_tier,"Massachusetts School and District Profiles publishes the statewide 2025 MCAS Grade 3 ELA achievement-level split directly on the state profile page, including Exceeding, Meeting, Partially Meeting, and Not Meeting Expectations.",https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&,https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&
